price,area,price_per_m2,location,bedroom,bathroom
Giá thỏa thuận,120 m²,,"Tây Hồ, Hà Nội",6,4
"4,55 tỷ","67,5 m²","67,41 tr/m²","Thủ Đức, Hồ Chí Minh",2,1
"7,9 tỷ",81 m²,"97,53 tr/m²","Thủ Đức, Hồ Chí Minh",3,3
Giá thỏa thuận,97 m²,,"Văn Giang, Hưng Yên",3,2
"5,75 tỷ",96 m²,"59,9 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"3,05 tỷ",54 m²,"56,48 tr/m²","Quận 9, Hồ Chí Minh",,
Giá thỏa thuận,100 m²,,"Thạch Thất, Hà Nội",,
"2,29 tỷ",46 m²,"49,78 tr/m²","Đông Anh, Hà Nội",,
"5,75 tỷ",102 m²,"56,37 tr/m²","Cầu Giấy, Hà Nội",3,2
"2,2 tỷ",100 m²,22 tr/m²,"Vĩnh Cửu, Đồng Nai",3,2
"2,69 tỷ",55 m²,"48,91 tr/m²","Gia Lâm, Hà Nội",2,1
"5,02 tỷ",127 m²,"39,5 tr/m²","Thanh Trì, Hà Nội",4,
"5,02 tỷ",127 m²,"39,5 tr/m²","Thanh Trì, Hà Nội",4,3
"8,5 tỷ",68 m²,125 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",,
"6,6 tỷ",74 m²,"89,19 tr/m²","Gò Vấp, Hồ Chí Minh",4,5
149 tỷ,379 m²,"393,14 tr/m²","Quận 2, Hồ Chí Minh",3,4
"12,5 tỷ",140 m²,"89,29 tr/m²","Liên Chiểu, Đà Nẵng",4,3
"2,68 tỷ",70 m²,"38,29 tr/m²","Quận 12, Hồ Chí Minh",,
Giá thỏa thuận,270 m²,,"Bình Chánh, Hồ Chí Minh",12,
"1,86 tỷ",100 m²,"18,6 tr/m²","Biên Hòa, Đồng Nai",3,2
13 tỷ,"125,7 m²","103,42 tr/m²","Cầu Giấy, Hà Nội",3,2
"1,9 tỷ",90 m²,"21,11 tr/m²","Ngũ Hành Sơn, Đà Nẵng",,
"5,9 tỷ",107 m²,"55,14 tr/m²","Thủ Đức, Hồ Chí Minh",3,2
Giá thỏa thuận,115 m²,,"Thạch Thất, Hà Nội",,
6 tỷ,80 m²,75 tr/m²,"Nam Từ Liêm, Hà Nội",2,2
13 tỷ,82 m²,"158,54 tr/m²","Ngũ Hành Sơn, Đà Nẵng",1,1
"2,85 tỷ",67 m²,"42,54 tr/m²","Nha Trang, Khánh Hòa",2,2
"2,28 tỷ",48 m²,"47,5 tr/m²","Gia Lâm, Hà Nội",1,1
"1,84 tỷ",85 m²,"21,65 tr/m²","Quận 7, Hồ Chí Minh",2,3
Giá thỏa thuận,816 m²,,"Sóc Sơn, Hà Nội",,
Giá thỏa thuận,390 m²,,"Hoài Đức, Hà Nội",,
"4,95 tỷ",25 m²,198 tr/m²,"Ba Đình, Hà Nội",3,3
"15,3 tỷ",128 m²,"119,53 tr/m²","Quận 7, Hồ Chí Minh",3,2
Giá thỏa thuận,"79,5 m²",,"Nam Từ Liêm, Hà Nội",,
"4,1 tỷ",42 m²,"97,62 tr/m²","Bình Tân, Hồ Chí Minh",2,2
"5,02 tỷ",193 m²,26 tr/m²,"Quốc Oai, Hà Nội",,
"3,1 tỷ",90 m²,"34,44 tr/m²","Quận 2, Hồ Chí Minh",3,3
Giá thỏa thuận,105 m²,,"Sông Công, Thái Nguyên",,
16 tỷ,950 m²,"16,84 tr/m²","Phan Thiết, Bình Thuận",,
Giá thỏa thuận,110 m²,,"Thanh Trì, Hà Nội",,
"4,45 tỷ",63 m²,"70,64 tr/m²","Đống Đa, Hà Nội",2,2
"1,6 tỷ",51 m²,"31,37 tr/m²","Dĩ An, Bình Dương",2,2
"8,8 tỷ",52 m²,"169,23 tr/m²","Hà Đông, Hà Nội",,
"2,25 tỷ","75,24 m²","29,9 tr/m²","Nha Trang, Khánh Hòa",3,2
"4,2 tỷ","47,3 m²","88,8 tr/m²","Hoài Đức, Hà Nội",,
"4,76 tỷ",79 m²,"60,25 tr/m²","Quận 9, Hồ Chí Minh",2,2
65 tỷ,383 m²,"169,71 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",,
"1,1 tỷ","40,7 m²","27,03 tr/m²","Dĩ An, Bình Dương",1,1
"1,5 tỷ","87,3 m²","17,18 tr/m²","Sóc Sơn, Hà Nội",,
Giá thỏa thuận,144 m²,,"Thủ Thừa, Long An",,
"2,5 tỷ",368 m²,"6,79 tr/m²","Lộc Hà, Hà Tĩnh",,
179 triệu,133 m²,"1,35 tr/m²","Thạch Thành, Thanh Hóa",,
"1,84 tỷ",108 m²,17 tr/m²,"Thủ Thừa, Long An",,
37 tỷ,64 m²,"578,12 tr/m²","Quận 1, Hồ Chí Minh",,
"1,7 tỷ",110 m²,"15,46 tr/m²","Bình Chánh, Hồ Chí Minh",,
"3,65 tỷ",75 m²,"48,67 tr/m²","Gia Lâm, Hà Nội",3,2
"6,2 tỷ","106,4 m²","58,27 tr/m²","Văn Giang, Hưng Yên",3,2
23 tỷ,150 m²,"153,33 tr/m²","Cầu Giấy, Hà Nội",,
61 tỷ,282 m²,"216,31 tr/m²","Quận 3, Hồ Chí Minh",,
60 tỷ,"385,1 m²","155,8 tr/m²","Quận 3, Hồ Chí Minh",,
"2,35 tỷ",79 m²,"29,75 tr/m²","Vinh, Nghệ An",2,2
"1,7 tỷ",108 m²,"15,74 tr/m²","Bình Chánh, Hồ Chí Minh",,
"4,8 tỷ",74 m²,"64,86 tr/m²","Hoàng Mai, Hà Nội",2,2
"4,65 tỷ",76 m²,"61,18 tr/m²","Gia Lâm, Hà Nội",2,2
"5,95 tỷ",22 m²,"270,46 tr/m²","Ba Đình, Hà Nội",3,
"2,7 tỷ",55 m²,"49,09 tr/m²","Gia Lâm, Hà Nội",2,1
"1,5 tỷ",100 m²,15 tr/m²,"Biên Hòa, Đồng Nai",,
"12,8 tỷ",1.529 m²,"8,37 tr/m²","Phú Mỹ, Bà Rịa Vũng Tàu",,
"4,8 tỷ","70,1 m²","68,47 tr/m²","Hoàng Mai, Hà Nội",2,2
"10,3 tỷ",97 m²,"106,19 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
"33,44 tỷ","267,5 m²",125 tr/m²,"Quận 9, Hồ Chí Minh",,
Giá thỏa thuận,117 m²,,"Thủ Thừa, Long An",,
"13,7 tỷ",128 m²,"107,03 tr/m²","Quận 7, Hồ Chí Minh",3,2
Giá thỏa thuận,40 m²,,"Bình Tân, Hồ Chí Minh",4,3
"12,5 tỷ",135 m²,"92,59 tr/m²","Sơn Trà, Đà Nẵng",3,3
"15,5 tỷ",120 m²,"129,17 tr/m²","Quận 11, Hồ Chí Minh",4,3
11 tỷ,46 m²,"239,13 tr/m²","Long Biên, Hà Nội",4,4
"11,3 tỷ",55 m²,"205,46 tr/m²","Long Biên, Hà Nội",4,4
"8,94 tỷ","55,9 m²",160 tr/m²,"Ngô Quyền, Hải Phòng",,
"15,5 tỷ",9.513 m²,"1,63 tr/m²","Tam Dương, Vĩnh Phúc",6,4
"15,5 tỷ",9.513 m²,"1,63 tr/m²","Tam Dương, Vĩnh Phúc",6,4
Giá thỏa thuận,65 m²,,"Quận 10, Hồ Chí Minh",6,4
Giá thỏa thuận,63 m²,,"Liên Chiểu, Đà Nẵng",2,2
Giá thỏa thuận,"84,44 m²",,"Quận 2, Hồ Chí Minh",2,
"4,5 tỷ",100 m²,45 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",,
850 triệu,60 m²,"14,17 tr/m²","Thủy Nguyên, Hải Phòng",,
"11,5 tỷ",45 m²,"255,56 tr/m²","Đống Đa, Hà Nội",3,4
"9,3 tỷ",80 m²,"116,25 tr/m²","Quận 2, Hồ Chí Minh",5,5
25 tỷ,150 m²,"166,67 tr/m²","Tây Hồ, Hà Nội",2,2
"11,7 tỷ",72 m²,"162,5 tr/m²","Bình Tân, Hồ Chí Minh",2,2
"6,25 tỷ",25 m²,250 tr/m²,"Ba Đình, Hà Nội",3,4
Giá thỏa thuận,"171,5 m²",,"Điện Bàn, Quảng Nam",,
"2,75 tỷ",81 m²,"33,95 tr/m²","Thủy Nguyên, Hải Phòng",,
"35,5 tỷ",220 m²,"161,36 tr/m²","Gò Vấp, Hồ Chí Minh",,
4 tỷ,80 m²,"49,94 tr/m²","Quận 4, Hồ Chí Minh",2,2
79 tỷ,370 m²,"213,51 tr/m²","Quận 7, Hồ Chí Minh",,
"1,5 tỷ",60 m²,25 tr/m²,"Dĩ An, Bình Dương",2,1
"3,6 tỷ",55 m²,"65,46 tr/m²","Nam Từ Liêm, Hà Nội",2,1
12 tỷ,100 m²,120 tr/m²,"Bình Thạnh, Hồ Chí Minh",,
"3,8 tỷ",71 m²,"53,52 tr/m²","Nhà Bè, Hồ Chí Minh",2,2
"8,66 tỷ","125,5 m²",69 tr/m²,"Cầu Giấy, Hà Nội",3,2
18 tỷ,96 m²,"187,5 tr/m²","Quận 9, Hồ Chí Minh",,
"10,37 tỷ",182 m²,57 tr/m²,"Quận 9, Hồ Chí Minh",,
Giá thỏa thuận,150 m²,,"Gia Lâm, Hà Nội",4,3
"3,2 tỷ",51 m²,"62,74 tr/m²","Quận 6, Hồ Chí Minh",1,1
"17,2 tỷ",161 m²,"106,83 tr/m²","Thanh Xuân, Hà Nội",4,4
8 tỷ,90 m²,"88,89 tr/m²","Ba Đình, Hà Nội",8,8
Giá thỏa thuận,555 m²,,"Quận 7, Hồ Chí Minh",,
"4,7 tỷ",69 m²,"68,12 tr/m²","Quận 2, Hồ Chí Minh",,
"4,09 tỷ",1.239 m²,"3,3 tr/m²","Quốc Oai, Hà Nội",,
"2,6 tỷ",100 m²,26 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",,
7 tỷ,220 m²,"31,82 tr/m²","Điện Bàn, Quảng Nam",,
5 tỷ,79 m²,"63,29 tr/m²","Thủ Đức, Hồ Chí Minh",,
"6,1 tỷ",82 m²,"74,39 tr/m²","Quận 2, Hồ Chí Minh",,
Giá thỏa thuận,"70,4 m²",,"Thanh Xuân, Hà Nội",2,2
Giá thỏa thuận,90 m²,,"Hoài Đức, Hà Nội",4,3
"3,57 tỷ",300 m²,"11,9 tr/m²","Nhơn Trạch, Đồng Nai",,
"4,55 tỷ",35 m²,130 tr/m²,"Long Biên, Hà Nội",3,3
"9,5 tỷ",106 m²,"89,62 tr/m²","Bình Tân, Hồ Chí Minh",8,8
"16,5 tỷ",80 m²,"206,25 tr/m²","Long Biên, Hà Nội",4,4
"8,85 tỷ",68 m²,"130,15 tr/m²","Bình Thạnh, Hồ Chí Minh",4,5
"3,3 tỷ",60 m²,55 tr/m²,"Bình Tân, Hồ Chí Minh",,
"4,42 tỷ",117 m²,"37,75 tr/m²","Nhà Bè, Hồ Chí Minh",3,2
"3,75 tỷ",68 m²,"55,15 tr/m²","Gia Lâm, Hà Nội",2,2
Giá thỏa thuận,100 m²,,"Hoài Đức, Hà Nội",,
"10,9 tỷ","75,3 m²","144,75 tr/m²","Gò Vấp, Hồ Chí Minh",2,1
"1,55 tỷ",44 m²,"35,23 tr/m²","Dĩ An, Bình Dương",2,1
"4,5 tỷ","114,6 m²","39,27 tr/m²","Dĩ An, Bình Dương",2,2
"5,4 tỷ",81 m²,"66,67 tr/m²","Quận 4, Hồ Chí Minh",2,2
10 tỷ,100 m²,100 tr/m²,"Nha Trang, Khánh Hòa",4,
33 tỷ,234 m²,"141,03 tr/m²","Bình Thạnh, Hồ Chí Minh",15,15
"16,5 tỷ",95 m²,"173,68 tr/m²","Hoài Đức, Hà Nội",4,5
Giá thỏa thuận,130 m²,,"Bắc Từ Liêm, Hà Nội",3,2
Giá thỏa thuận,112 m²,,"Bình Tân, Hồ Chí Minh",4,3
"6,3 tỷ",83 m²,"75,9 tr/m²","Nam Từ Liêm, Hà Nội",3,2
"9,52 tỷ",112 m²,85 tr/m²,"Hà Đông, Hà Nội",,
"5,1 tỷ",75 m²,68 tr/m²,"Phú Nhuận, Hồ Chí Minh",2,2
596 triệu,295 m²,"2,02 tr/m²","An Lão, Hải Phòng",,
"21,2 tỷ",220 m²,"96,36 tr/m²","Quận 2, Hồ Chí Minh",3,3
70 triệu,"4,8 m²","14,58 tr/m²","Long Thành, Đồng Nai",,
70 triệu,"4,8 m²","14,58 tr/m²","Long Thành, Đồng Nai",,
"8,15 tỷ","60,5 m²","134,71 tr/m²","Long Biên, Hà Nội",,
10 tỷ,114 m²,"87,72 tr/m²","Bình Thạnh, Hồ Chí Minh",3,2
"6,99 tỷ",24 m²,"291,25 tr/m²","Ba Đình, Hà Nội",3,3
"56,4 tỷ",125 m²,"451,2 tr/m²","Tây Hồ, Hà Nội",,
65 triệu,"4,8 m²","13,54 tr/m²","Long Thành, Đồng Nai",,
"1,69 tỷ",52 m²,"32,5 tr/m²","Dĩ An, Bình Dương",2,2
"7,1 tỷ",104 m²,"68,27 tr/m²","Quận 2, Hồ Chí Minh",3,2
"8,6 tỷ",150 m²,"57,33 tr/m²","Hải Châu, Đà Nẵng",4,4
70 triệu,"4,8 m²","14,58 tr/m²","Long Thành, Đồng Nai",,
7 tỷ,35 m²,200 tr/m²,"Cầu Giấy, Hà Nội",3,4
"9,7 tỷ",107 m²,"90,65 tr/m²","Quận 10, Hồ Chí Minh",3,2
"2,8 tỷ",50 m²,56 tr/m²,"Sơn Trà, Đà Nẵng",1,2
"3,61 tỷ",82 m²,44 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",2,2
16 tỷ,160 m²,100 tr/m²,"Hai Bà Trưng, Hà Nội",5,4
"13,2 tỷ",56 m²,"235,71 tr/m²","Bình Thạnh, Hồ Chí Minh",5,
"6,8 tỷ",84 m²,"80,95 tr/m²","Quận 2, Hồ Chí Minh",2,2
"15,5 tỷ",155 m²,100 tr/m²,"Quận 2, Hồ Chí Minh",,
"15,5 tỷ",114 m²,"135,96 tr/m²","Ngũ Hành Sơn, Đà Nẵng",,
"11,2 tỷ",2.800 m²,4 tr/m²,"Củ Chi, Hồ Chí Minh",,
"17,8 tỷ","202,5 m²","87,9 tr/m²","Quận 9, Hồ Chí Minh",13,13
"4,3 tỷ","74,5 m²","57,72 tr/m²","Hoàng Mai, Hà Nội",2,2
"7,7 tỷ",83 m²,"92,77 tr/m²","Quận 7, Hồ Chí Minh",4,5
25 tỷ,154 m²,"162,34 tr/m²","Hoài Đức, Hà Nội",,
89 tỷ,225 m²,"395,56 tr/m²","Hà Đông, Hà Nội",5,4
30 tỷ,223 m²,"134,53 tr/m²","Tây Hồ, Hà Nội",4,4
"14,5 tỷ",99 m²,"146,46 tr/m²","Nhơn Trạch, Đồng Nai",3,5
"2,75 tỷ",32 m²,"85,94 tr/m²","Văn Giang, Hưng Yên",2,2
13 tỷ,104 m²,125 tr/m²,"Bắc Từ Liêm, Hà Nội",3,
"3,2 tỷ",45 m²,"71,11 tr/m²","Hoài Đức, Hà Nội",4,3
60 tỷ,190 m²,"315,79 tr/m²","Bắc Từ Liêm, Hà Nội",4,3
"1,7 tỷ",54 m²,"31,48 tr/m²","Dĩ An, Bình Dương",2,2
44 tỷ,180 m²,"244,44 tr/m²","Lê Chân, Hải Phòng",4,4
Giá thỏa thuận,96 m²,,"Quận 9, Hồ Chí Minh",5,
"9,7 tỷ",99 m²,"97,98 tr/m²","Bình Thạnh, Hồ Chí Minh",2,2
"6,9 tỷ",83 m²,"83,13 tr/m²","Quận 2, Hồ Chí Minh",2,1
Giá thỏa thuận,75 m²,,"Ngũ Hành Sơn, Đà Nẵng",3,2
"3,7 tỷ",71 m²,"52,11 tr/m²","Quận 2, Hồ Chí Minh",2,2
"2,75 tỷ",85 m²,"32,35 tr/m²","Bình Chánh, Hồ Chí Minh",2,2
"10,5 tỷ",44 m²,"238,64 tr/m²","Cầu Giấy, Hà Nội",4,4
28 tỷ,75 m²,"373,33 tr/m²","Cầu Giấy, Hà Nội",6,5
40 tỷ,309 m²,"129,45 tr/m²","Quận 2, Hồ Chí Minh",4,5
"4,5 tỷ",436 m²,"10,32 tr/m²","Nhà Bè, Hồ Chí Minh",,
180 tỷ,"153,2 m²","1,18 tỷ/m²","Quận 1, Hồ Chí Minh",,
Giá thỏa thuận,120 m²,,"Thủy Nguyên, Hải Phòng",,
580 triệu,223 m²,"2,6 tr/m²","Định Quán, Đồng Nai",,
"3,56 tỷ",72 m²,"49,44 tr/m²","Quận 7, Hồ Chí Minh",2,2
8 tỷ,130 m²,"61,54 tr/m²","Thanh Xuân, Hà Nội",4,2
"3,24 tỷ",54 m²,60 tr/m²,"Hà Đông, Hà Nội",2,2
"11,65 tỷ",55 m²,"211,82 tr/m²","Đống Đa, Hà Nội",4,4
"3,75 tỷ",150 m²,25 tr/m²,"Chương Mỹ, Hà Nội",,
93 tỷ,330 m²,"281,82 tr/m²","Ba Đình, Hà Nội",53,53
200 triệu,5 m²,40 tr/m²,"Long Thành, Đồng Nai",,
"10,46 tỷ","158,5 m²",66 tr/m²,"Thanh Xuân, Hà Nội",3,3
"8,8 tỷ",70 m²,"125,71 tr/m²","Tân Phú, Hồ Chí Minh",4,6
"8,9 tỷ",50 m²,178 tr/m²,"Thanh Trì, Hà Nội",3,3
"1,82 tỷ","52,5 m²","34,67 tr/m²","Dĩ An, Bình Dương",2,2
"10,8 tỷ","107,7 m²","100,28 tr/m²","Thủ Đức, Hồ Chí Minh",3,3
11 tỷ,180 m²,"61,11 tr/m²","Từ Sơn, Bắc Ninh",4,4
"6,8 tỷ",80 m²,85 tr/m²,"Hai Bà Trưng, Hà Nội",2,
21 tỷ,63 m²,"333,33 tr/m²","Quận 1, Hồ Chí Minh",1,1
"17,5 tỷ",55 m²,"318,18 tr/m²","Cầu Giấy, Hà Nội",8,5
"14,9 tỷ",97 m²,"153,61 tr/m²","Quận 2, Hồ Chí Minh",2,2
"3,75 tỷ",138 m²,"27,17 tr/m²","Thuận An, Bình Dương",,
"1,05 tỷ",88 m²,"11,93 tr/m²","Củ Chi, Hồ Chí Minh",2,1
"5,4 tỷ",80 m²,"67,5 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"4,8 tỷ","285,6 m²","16,81 tr/m²","Thủ Thừa, Long An",,
"4,8 tỷ",64 m²,75 tr/m²,"Bình Tân, Hồ Chí Minh",4,4
72 tỷ,280 m²,"257,14 tr/m²","Gia Lâm, Hà Nội",2,2
"11,2 tỷ",114 m²,"98,25 tr/m²","Nam Từ Liêm, Hà Nội",3,
"5,9 tỷ",683 m²,"8,64 tr/m²","Cần Giuộc, Long An",,
"3,15 tỷ",70 m²,45 tr/m²,"Tân Phú, Hồ Chí Minh",2,2
95 tỷ,135 m²,"703,7 tr/m²","Thanh Xuân, Hà Nội",,
9 tỷ,80 m²,"112,5 tr/m²","Quận 9, Hồ Chí Minh",4,4
"1,88 tỷ",51 m²,"36,86 tr/m²","Thuận An, Bình Dương",2,1
5 tỷ,56 m²,"89,29 tr/m²","Hai Bà Trưng, Hà Nội",1,1
"23,9 tỷ",250 m²,"95,6 tr/m²","Nhà Bè, Hồ Chí Minh",6,6
"4,97 tỷ",110 m²,"45,2 tr/m²","Lê Chân, Hải Phòng",3,2
165 tỷ,300 m²,550 tr/m²,"Nam Từ Liêm, Hà Nội",,
290 triệu,250 m²,"1,16 tr/m²","Phú Riềng, Bình Phước",,
"6,5 tỷ",1.000 m²,"6,5 tr/m²","Bà Rịa, Bà Rịa Vũng Tàu",,
26 tỷ,720 m²,"36,11 tr/m²","Quận 9, Hồ Chí Minh",,
65 tỷ,10.000 m²,"6,5 tr/m²","Tân Uyên, Bình Dương",,
"3,58 tỷ",30 m²,"119,33 tr/m²","Hà Đông, Hà Nội",3,3
"3,4 tỷ",67 m²,"50,73 tr/m²","Quận 9, Hồ Chí Minh",2,2
"2,6 tỷ","43,8 m²","59,36 tr/m²","Gia Lâm, Hà Nội",1,
"22,99 tỷ",121 m²,190 tr/m²,"Hoài Đức, Hà Nội",6,6
18 tỷ,500 m²,36 tr/m²,"Hội An, Quảng Nam",,
12 tỷ,100 m²,120 tr/m²,"Quận 8, Hồ Chí Minh",10,11
"10,5 tỷ",100 m²,105 tr/m²,"Quận 10, Hồ Chí Minh",1,1
"2,26 tỷ",58 m²,39 tr/m²,"Hồng Bàng, Hải Phòng",2,2
"2,3 tỷ",80 m²,"28,75 tr/m²","Quy Nhơn, Bình Định",,
Giá thỏa thuận,50 m²,,"Hà Đông, Hà Nội",,
Giá thỏa thuận,60 m²,,"Long Biên, Hà Nội",4,5
"3,2 tỷ",76 m²,"42,1 tr/m²","Vũng Tàu, Bà Rịa Vũng Tàu",2,2
"2,09 tỷ","27,1 m²","77,12 tr/m²","Gia Lâm, Hà Nội",1,1
"2,25 tỷ","92,4 m²","24,35 tr/m²","Thủ Dầu Một, Bình Dương",,
"8,3 tỷ",35 m²,"237,14 tr/m²","Hai Bà Trưng, Hà Nội",4,4
Giá thỏa thuận,768 m²,,"Quốc Oai, Hà Nội",,
"6,22 tỷ",74 m²,84 tr/m²,"Thanh Xuân, Hà Nội",2,2
Giá thỏa thuận,24.600 m²,,"Thủy Nguyên, Hải Phòng",,
"14,18 tỷ",189 m²,75 tr/m²,"Quận 9, Hồ Chí Minh",,
"2,2 tỷ",55 m²,40 tr/m²,"Tân Phú, Hồ Chí Minh",2,1
Giá thỏa thuận,84 m²,,"Hoài Đức, Hà Nội",,
13 tỷ,40 m²,325 tr/m²,"Thanh Xuân, Hà Nội",,
"3,6 tỷ",58 m²,"62,07 tr/m²","Gia Lâm, Hà Nội",2,2
"3,1 tỷ",140 m²,"22,14 tr/m²","Thủ Dầu Một, Bình Dương",4,3
"3,7 tỷ",63 m²,"58,73 tr/m²","Gia Lâm, Hà Nội",2,2
Giá thỏa thuận,212 m²,,"Cam Lâm, Khánh Hòa",,
"4,3 tỷ",30 m²,"143,33 tr/m²","Ba Đình, Hà Nội",3,3
"2,7 tỷ",188 m²,"14,36 tr/m²","Cam Lâm, Khánh Hòa",,
Giá thỏa thuận,110.000 m²,,"Đông Triều, Quảng Ninh",,
"37,25 tỷ",60 m²,"620,83 tr/m²","Tây Hồ, Hà Nội",6,7
"2,2 tỷ",100 m²,22 tr/m²,"Phổ Yên, Thái Nguyên",,
"9,25 tỷ",45 m²,"205,56 tr/m²","Cầu Giấy, Hà Nội",4,4
35 tỷ,120 m²,"291,67 tr/m²","Hà Đông, Hà Nội",4,4
"12,5 tỷ","97,8 m²","127,81 tr/m²","Lê Chân, Hải Phòng",4,5
"3,2 tỷ",51 m²,"62,74 tr/m²","Quận 6, Hồ Chí Minh",1,
22 tỷ,100 m²,220 tr/m²,"Thủ Đức, Hồ Chí Minh",4,4
"3,9 tỷ","78,6 m²","49,62 tr/m²","Long Biên, Hà Nội",3,2
"3,5 tỷ",52 m²,"67,31 tr/m²","Quận 10, Hồ Chí Minh",1,1
Giá thỏa thuận,80 m²,,"Quốc Oai, Hà Nội",,
"16,8 tỷ",1.500 m²,"11,2 tr/m²","Phan Thiết, Bình Thuận",,
"3,26 tỷ","273,9 m²","11,9 tr/m²","Cần Giờ, Hồ Chí Minh",,
110 tỷ,300 m²,"366,67 tr/m²","Quận 1, Hồ Chí Minh",,
Giá thỏa thuận,85 m²,,"Đức Hòa, Long An",,
Giá thỏa thuận,72 m²,,"Hà Đông, Hà Nội",2,2
"31,36 tỷ",320 m²,98 tr/m²,"Quận 9, Hồ Chí Minh",,
"7,02 tỷ","36,5 m²","192,33 tr/m²","Hà Đông, Hà Nội",,
"24,5 tỷ",117 m²,"209,4 tr/m²","Tây Hồ, Hà Nội",,
"48,2 tỷ",150 m²,"321,33 tr/m²","Quận 1, Hồ Chí Minh",21,22
Giá thỏa thuận,"69,5 m²",,"Đan Phượng, Hà Nội",,
31 tỷ,250 m²,124 tr/m²,"Long Biên, Hà Nội",4,5
"5,8 tỷ",81 m²,"71,6 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"9,5 tỷ",108 m²,"87,96 tr/m²","Quận 2, Hồ Chí Minh",1,2
"3,25 tỷ",48 m²,"67,71 tr/m²","Hồng Bàng, Hải Phòng",4,3
"15,5 tỷ",185 m²,"83,78 tr/m²","Quận 2, Hồ Chí Minh",,
"4,7 tỷ",85 m²,"55,29 tr/m²","Nhà Bè, Hồ Chí Minh",,
"8,4 tỷ",240 m²,35 tr/m²,"Quận 9, Hồ Chí Minh",,
"3,25 tỷ",70 m²,"46,43 tr/m²","Hà Đông, Hà Nội",2,2
"7,3 tỷ",77 m²,"94,8 tr/m²","Cầu Giấy, Hà Nội",3,2
"2,5 tỷ",100 m²,25 tr/m²,"Thạch Thất, Hà Nội",,
480 tỷ,"732,6 m²","655,2 tr/m²","Quận 3, Hồ Chí Minh",,
42 tỷ,97 m²,"432,99 tr/m²","Nam Từ Liêm, Hà Nội",,
"3,65 tỷ","280,5 m²",13 tr/m²,"Thanh Hóa, Thanh Hóa",,
Giá thỏa thuận,80 m²,,"Tuy Phước, Bình Định",,
"5,15 tỷ",73 m²,"70,55 tr/m²","Hoàng Mai, Hà Nội",2,2
25 tỷ,339 m²,"73,75 tr/m²","Thủ Đức, Hồ Chí Minh",1,1
"4,5 tỷ",83 m²,"54,22 tr/m²","Liên Chiểu, Đà Nẵng",2,2
"2,3 tỷ",68 m²,"33,82 tr/m²","Lê Chân, Hải Phòng",2,2
140 triệu,"9,6 m²","14,58 tr/m²","Long Thành, Đồng Nai",,
"3,24 tỷ",72 m²,45 tr/m²,"Vũng Tàu, Bà Rịa Vũng Tàu",2,2
"6,8 tỷ",45 m²,"151,11 tr/m²","Đống Đa, Hà Nội",4,3
Giá thỏa thuận,"280,5 m²",,"Thanh Hóa, Thanh Hóa",,
6 tỷ,110 m²,"54,54 tr/m²","Bắc Từ Liêm, Hà Nội",3,2
"4,55 tỷ",70 m²,65 tr/m²,"Hoàng Mai, Hà Nội",2,2
"4,4 tỷ",62 m²,"70,97 tr/m²","Nam Từ Liêm, Hà Nội",2,2
"1,28 tỷ",150 m²,"8,53 tr/m²","Bàu Bàng, Bình Dương",,
Giá thỏa thuận,143 m²,,"Quận 2, Hồ Chí Minh",3,3
"6,7 tỷ",60 m²,"111,67 tr/m²","Bình Tân, Hồ Chí Minh",3,4
"2,63 tỷ",83 m²,"31,69 tr/m²","Liên Chiểu, Đà Nẵng",1,1
42 tỷ,78 m²,"538,46 tr/m²","Quận 1, Hồ Chí Minh",2,2
20 tỷ,52 m²,"384,62 tr/m²","Cầu Giấy, Hà Nội",11,
15 tỷ,"120,3 m²","124,69 tr/m²","Cầu Giấy, Hà Nội",3,
"10,3 tỷ",45 m²,"228,89 tr/m²","Bắc Từ Liêm, Hà Nội",,
38 tỷ,"166,6 m²","228,09 tr/m²","Long Biên, Hà Nội",4,3
Giá thỏa thuận,100 m²,,"Thanh Trì, Hà Nội",3,3
"6,8 tỷ",45 m²,"151,11 tr/m²","Tây Hồ, Hà Nội",,
Giá thỏa thuận,40 m²,,"Long Biên, Hà Nội",4,5
"10,8 tỷ",52 m²,"207,69 tr/m²","Hà Đông, Hà Nội",4,3
"10,8 tỷ",60 m²,180 tr/m²,"Long Biên, Hà Nội",,
"6,5 tỷ",28 m²,"232,14 tr/m²","Thanh Xuân, Hà Nội",3,
"3,3 tỷ",100 m²,33 tr/m²,"Phú Xuyên, Hà Nội",,
"7,2 tỷ",90 m²,80 tr/m²,"Ngũ Hành Sơn, Đà Nẵng",3,2
"2,35 tỷ",48 m²,"48,96 tr/m²","Gò Vấp, Hồ Chí Minh",2,1
Giá thỏa thuận,92 m²,,"Cầu Giấy, Hà Nội",3,2
"1,95 tỷ",1.200 m²,"1,62 tr/m²","Đạ Huoai, Lâm Đồng",,
"7,6 tỷ",74 m²,"102,7 tr/m²","Quận 2, Hồ Chí Minh",2,2
